Title,Description,Issue ID,URL,State,Author,Author Username,Assignee,Assignee Username,Confidential,Locked,Due Date,Created At (UTC),Updated At (UTC),Closed At (UTC),Milestone,Weight,Labels,Time Estimate,Time Spent
8/25 신제품 누락 제품 등록 요청,"8/25 신제품 리스트 중 누락 제품 1건 등록 부탁드립니다.
**JOI 음용구**입니다. 엑셀 리스트 및 PPT 9p에 상세 내용 있습니다.
이전에 보내드렸던 자료 다시 첨부합니다.

[220714_EC_FW_신제품_소모품__상세페이지_제작요청.pptx](/uploads/55dd264c23af70a463a03734088e7ceb/220714_EC_FW_신제품_소모품__상세페이지_제작요청.pptx)

[EC_제품리스트_220711_이너뷰공유.xlsx](/uploads/b56340d004dde9970cbe4bdc90bda10f/EC_제품리스트_220711_이너뷰공유.xlsx)

오늘 기획전 오픈 후 작업 부탁드립니다.

@thermosgroup",11,https://git.innerviewit.com/root/thermos/-/issues/11,Closed,Jiyoun Kim,KIM,"","",No,No,2022-08-25,2022-08-25 08:37:25,2022-08-30 15:37:51,2022-08-30 15:37:51,,,완료,0,0
상세페이지 내 취급설명서 배너 아웃랜딩 링크 변경 요청,"상세페이지 내 취급설명서 링크 변경 부탁드립니다.
9/15에 라이브 부탁드립니다.

TKFD: https://thermos.kr/upload_file/product/manual/IS_TKFD_WEB_2022.pdf

TKFE: https://thermos.kr/upload_file/product/manual/IS_TKFE_WEB_2022.pdf

TKFF: https://thermos.kr/upload_file/product/manual/IS_TKFF_WEB_2022.pdf

DJM-570K, DJM-570KC: https://thermos.kr/upload_file/product/manual/IS_DJM_WEB_2022.pdf

@thermosgroup",12,https://git.innerviewit.com/root/thermos/-/issues/12,Closed,Jiyoun Kim,KIM,"","",No,No,2022-09-15,2022-08-25 10:02:19,2022-09-15 11:47:30,2022-09-15 11:47:30,,,"완료,퍼블",0,0
[정품등록서비스] 템플릿 반려 관련,"'@thermosgroup 소모품 교체주기 관련 템플릿이 광고성 내용으로 반려되어, 루나소프트측 담당자님과 통화한 결과, <BR>
아래와 같이 일부 텍스트 수정이 필요하다고 전달받았습니다. <BR>
※써모스 온라인 공식몰 정품 등록 서비스 등록 내용에 따라 일괄 발송되었습니다. → ※써모스 온라인 공식몰 정품 등록 서비스 이용약관에 따라 일괄 발송되었습니다  <BR>
상기 내용으로 재요청해도 될지 확인 부탁드리겠습니다.",13,https://git.innerviewit.com/root/thermos/-/issues/13,Closed,Park Soohyun,soohyun,"","",No,No,,2022-08-25 18:03:46,2022-09-07 15:52:53,2022-09-07 15:52:53,,,완료,0,0
공식몰 팝업 디자인 및 세팅 요청,"'@thermosgroup  

추석 기간 택배 이슈로 공식몰 팝업 세팅 요청 드립니다. 
배송 지연 팝업은 메인 페이지+ 상세페이지에 세팅 부탁드립니다.

더불어 이번 팝업부터 공식몰과 톤앤매너 맞춘 새로운 디자인으로 
세팅하고자 합니다. 바쁘시겠지만 디자인 제작물 8/31(수) 오전까지 전달 가능하실까요?
일정 확인 부탁드립니다.

팝업 노출 기간: 9/1(목) 10:00 ~ 9/12(월) 23:00

문구:
배송 지연 안내

신제품 주문 폭주와 추석 연휴를 맞이해
택배 물량이 증가하여 배송이 지연되고 있습니다.
주문 시점 및 지역에 따라 배송에 3~5일 소요될 수 있습니다.

[추석 연휴 택배 마감 일정]
9월 6일(화) 11시 이후 주문 건은 추석 연휴 이후 9월 13일(화)부터 순차 발송됩니다.

배송 일정에 양해 부탁드리며
즐거운 한가위 보내시기 바랍니다.


![210915_공식몰_팝업_추석연휴배송지연_PC](/uploads/bc15e0a39e8fc901ffc545d1002586b2/210915_공식몰_팝업_추석연휴배송지연_PC.jpg)",14,https://git.innerviewit.com/root/thermos/-/issues/14,Closed,um seung hyun,ush,"","",No,No,,2022-08-29 15:53:22,2022-09-07 15:52:44,2022-09-07 15:52:44,,,완료,0,0
스마트스토어 메인 롤링 배너 랜딩 페이지 세팅 요청,"'@soohyun 매니저님 스마트스토어 메인 롤링배너 이미지 클릭 시 제품 페이지로 랜딩 되도록 세팅 부탁드립니다.
JNR - https://brand.naver.com/thermos/products/7081290996
JOI- https://brand.naver.com/thermos/products/7081289364

더불어 9/15 제품은 런칭 전이라 닫아둔 상태입니다. 업무에 참고 부탁드려요",15,https://git.innerviewit.com/root/thermos/-/issues/15,Closed,um seung hyun,ush,"","",No,No,,2022-08-30 12:09:02,2022-09-15 11:47:37,2022-09-15 11:47:37,,,완료,0,0
정품등록 서비스 관련  이슈 사항,"'@thermosgroup 
매니저님 방금 팀장님과 통화하신 내용 확인차 전달드려요

일전 9/1 정품 등록 서비스 배너 라이브로 말씀 드렸는데 홀딩하고,
차주 중 테스트 마무리하여 9/13~ 주차에 오픈 될 수 있도록 진행 부탁드려요.",16,https://git.innerviewit.com/root/thermos/-/issues/16,Closed,um seung hyun,ush,"","",No,No,,2022-08-31 15:27:03,2022-10-06 16:24:18,2022-10-06 16:24:18,,,완료,0,0
자사몰 검색기능 오류,"'@thermosgroup 

수현 매니저님, 일전에 카페24 오류로 발생한 검색기능에서 같은 오류가 발생하고 있습니다.
동일 사유인지 확인 부탁드립니다.

![image](/uploads/27625f89e666e061bedae1257e9930ae/image.png)",17,https://git.innerviewit.com/root/thermos/-/issues/17,Closed,Jiyoun Kim,KIM,"","",No,No,2022-08-31,2022-08-31 16:50:18,2022-09-19 16:52:34,2022-09-19 16:52:34,,,문의,0,0
[네이버] 상세페이지 수정 요청,"FFW-1003KC 재입고로 스마트스토어에 판매하려 합니다.
스마트스토어 양식으로 썸네일, 상세페이지 수정 부탁드립니다.

https://brand.naver.com/thermos/products/7117831100",18,https://git.innerviewit.com/root/thermos/-/issues/18,Closed,Jiyoun Kim,KIM,"","",No,No,2022-09-02,2022-09-01 09:53:14,2022-09-01 11:48:18,2022-09-01 11:48:18,,,"디자인,완료,퍼블",0,0
공식몰 SNS 로그인 오류,"'@thermosgroup  매니저님 공식몰 SNS 로그인에 오류가 발생했습니다.
네이버 로그인은 로그인 창에서 화면이 나오지 않고 카카오톡 로그인은 아래와 같은 안내가 나옵니다. 확인 부탁드립니다.

![image](/uploads/a9cd0be0aa52708b888bb2e0ff02e946/image.png)",19,https://git.innerviewit.com/root/thermos/-/issues/19,Closed,um seung hyun,ush,"","",No,No,,2022-09-07 10:34:50,2022-09-07 15:52:21,2022-09-07 15:52:21,,,완료,0,0
상세페이지 상품정보제공 고시 수정 요청,"'@thermosgroup 매니저님 상품페이지 상품정보제공 고시 영역 수정 요청 드립니다.

BS-535K 빨대세트 / BP-353K 빨대세트 /BS-535K/KH 캡유닛

하이라이트 영역 수정 부탁드립니다.

![image](/uploads/b97a3357bc31cf8ac241c99007bf53ee/image.png)",20,https://git.innerviewit.com/root/thermos/-/issues/20,Closed,um seung hyun,ush,"","",No,No,,2022-09-07 17:25:48,2022-09-08 08:01:33,2022-09-08 08:01:33,,,완료,0,0
신제품 블로그 콘텐츠 URL 적용 요청,"각 제품 상세페이지 배너에 아웃랜딩 부탁드립니다.

TKLH-1500: https://blog.naver.com/thermos_kr/222874213707

JNL-404KC: 9/15 전달

DJM-570KC, REW-007KC: 9/16 전달

@thermosgroup",21,https://git.innerviewit.com/root/thermos/-/issues/21,Closed,Jiyoun Kim,KIM,"","",No,No,,2022-09-14 11:43:01,2022-09-19 14:59:53,2022-09-19 14:59:53,,,"완료,퍼블",0,0
정품등록서비스 랜딩페이지 순서 문의,"[220915_정품등록서비스_랜딩페이지순서.pptx](/uploads/82e8cdaf46f2bbb4de301ee827217f07/220915_정품등록서비스_랜딩페이지순서.pptx)

@thermosgroup 

회원 대상 서비스라서 배너 클릭 시 로그인창이 바로 뜨는데요.
서비스 내용을 좀 더 친절하게 알 수 있도록 페이지 순서 변경(어려울 시 설명 페이지 중간에 추가)이 가능할까요?
확인 부탁드립니다.",22,https://git.innerviewit.com/root/thermos/-/issues/22,Closed,Jiyoun Kim,KIM,"","",No,No,2022-09-23,2022-09-15 10:00:48,2022-11-03 09:58:27,2022-11-03 09:58:27,,,"문의,완료",0,0
TKLH 부품 썸네일 수정 요청,"'@thermosgroup 

썸네일 크기 수정 부탁드립니다.
(금일 런칭 소모품 미리 열어두었습니다.)

![image](/uploads/7430920273c6011b12768910d22d5b7b/image.png)",23,https://git.innerviewit.com/root/thermos/-/issues/23,Closed,Jiyoun Kim,KIM,"","",No,No,2022-09-15,2022-09-15 10:02:53,2022-09-15 10:24:03,2022-09-15 10:24:03,,,"디자인,완료",0,0
TKFG 상세페이지 수정요청,"[220915_EC_TKFG_상세페이지_수정요청.pptx](/uploads/9d83e7d58c8e4fa8e9f6fe2d61934852/220915_EC_TKFG_상세페이지_수정요청.pptx)

@thermosgroup 
TKFG 상세페이지 수정 요청드립니다.
첨부파일 확인 부탁드립니다.",24,https://git.innerviewit.com/root/thermos/-/issues/24,Closed,Jiyoun Kim,KIM,"","",No,No,2022-09-15,2022-09-15 14:16:30,2022-09-19 14:59:44,2022-09-19 14:59:44,,,"디자인,수정요청,완료",0,0
PPSU 기획전 스티커 88코드 노출 안되는 현상,"'@thermosgroup 

자체품목코드에 88코드를 넣어서 사용하다가
이번 스티커 증정은 주문제품당 1개씩으로 사은품 제공방식을 바꾸면서 자체상품코드에 넣는걸로 바꾸었습니다.
그래서 카페24 주문내역에선 잘 뜨고 있는데요. [자체상품코드]가 물류팀에서 이용하는 엑셀양식에 항목이 없어 문의드립니다.
자체상품코드도 주문서에 노출이 되는 줄 알았는데 안 나오네요. ㅠㅠ

일단 금일 출고 건은 수기로 코드 추가하여 넣어 진행 예정이나, 이후 주문 내역에 대해 빠른 해결책이 필요합니다.

![image](/uploads/498677cce7697fbde2c7108d573a52e9/image.png)
![image](/uploads/fd7b09e49fdd2e4c15af6cb92b5a1a1e/image.png)",25,https://git.innerviewit.com/root/thermos/-/issues/25,Closed,Jiyoun Kim,KIM,"","",No,No,2022-09-16,2022-09-16 09:15:00,2022-09-19 14:59:37,2022-09-19 14:59:37,,,"긴급건,완료",0,0
[유지보수] 마이페이지 디자인 완료,"'@thermosgroup 마이페이지 디자인 완료되어 전달드립니다. [[피그마링크](https://www.figma.com/file/yCoT7j1a5mPfxvSbe3WfqF/%5B%EC%8D%A8%EB%AA%A8%EC%8A%A4%5D-%EB%94%94%EC%9E%90%EC%9D%B8-(shared-ver)?node-id=2614%3A1423)] <br>
확인해주시고 피드백 부탁드리겠습니다.",26,https://git.innerviewit.com/root/thermos/-/issues/26,Closed,Park Soohyun,soohyun,"","",No,No,,2022-09-16 14:37:42,2022-10-24 10:05:32,2022-10-24 10:05:32,,,완료,0,0
10월 이벤트 배너 제작 요청,"
[220919_EC_이벤트_10월_제작요청.pptx](/uploads/abb0218762ef4ab072655b51d44c5fb4/220919_EC_이벤트_10월_제작요청.pptx).

이벤트 기간: 2022.10.20. AM 11:00 - 2022.10.31. AM 10:59

조건: 
1) 공식몰 회원 대상
2) 주문서당 1개 증정 (제품 주문에 한함)
3) 사은품 주문서에 자동으로 꽂히도록


별도 이벤트페이지 없이 배너 노출로 진행하는 건입니다.
일정 참고하여 시안 전달 일정 역으로 전달 부탁드립니다.

@thermosgroup",27,https://git.innerviewit.com/root/thermos/-/issues/27,Closed,Jiyoun Kim,KIM,"","",No,No,,2022-09-19 15:42:15,2022-10-28 08:48:54,2022-10-28 08:48:54,,,디자인,0,0
9월 푸고 PPSU 기획전 증정품 이슈로 변경 요청,"https://www.thermosshop.kr/promotion/promotion_view_25.html

오늘 자정에 PPSU 쿠폰(이벤트2) 지급이 만료되는데요.
이벤트1 증정 스티커 재고에 여유 있어서 기획전은 계속 살려두고자 합니다.

또한 스티커 추가 입고 계획도 있어서,

1) 기획전페이지 이벤트2 영역에 ‘쿠폰 지급 종료’ 딱지 추가 (이전과 비슷한 디자인으로 잡아주세요.)
2) MO 메인 롤링배너에 이벤트 기간 텍스트 삭제 버전으로 교체
3) 현재 배너 라이브 기간을 10/7 00:00 까지 연장 

부탁드립니다.

@thermosgroup",28,https://git.innerviewit.com/root/thermos/-/issues/28,Closed,Jiyoun Kim,KIM,"","",No,No,2022-09-21,2022-09-21 10:37:02,2022-09-23 13:28:08,2022-09-23 13:28:08,,,"디자인,퍼블",0,0
[팝업] 고객상담실 운영시간 안내,"'@thermosgroup 

![image](/uploads/1edc4d3b82f26c33671d5df5c24bd97f/image.png)

- 게시기간: 2022.09.23. 09:00 - 18:00
- 노출위치: PC/MO 메인페이지

내부 사정으로 고객상담실 운영시간이 금요일 하루 변경됩니다.
팝업 디자인 및 세팅 부탁드립니다.

아울러 팝업 시안 PSD 파일 공유 부탁드립니다.
저희 쪽에서 가능한 것들은 진행할게요.",29,https://git.innerviewit.com/root/thermos/-/issues/29,Closed,Jiyoun Kim,KIM,"","",No,No,2022-09-22,2022-09-21 14:36:40,2022-09-23 13:27:44,2022-09-23 13:27:44,,,"디자인,퍼블",0,0
[상세페이지] REW-007KC 오타 수정,"![image](/uploads/f411f51e34e00a6d2d8c5dff86b29661/image.png)

https://www.thermosshop.kr/product/%EC%8D%A8%EB%AA%A8%EC%8A%A4x%EC%A0%9C%EB%A1%9C%ED%8D%BC%EC%A0%9C%EB%A1%9C-%EC%8B%AC%ED%94%8C-%EB%8D%B0%EC%9D%BC%EB%A6%AC-%EB%B3%B4%EB%83%89%EB%B0%B1-7l/838/category/55/display/1/

제품: REW-007KC
텍스트 수정: 호르면 → 호르몬

오타 수정 부탁드립니다. (__)

@thermosgroup",30,https://git.innerviewit.com/root/thermos/-/issues/30,Closed,Jiyoun Kim,KIM,"","",No,No,2022-09-23,2022-09-21 16:39:54,2022-09-23 08:20:46,2022-09-23 08:20:46,,,디자인,0,0
[정품등록서비스] 개선사항,"[220923_EC_정품등록서비스_수정요청.pptx](/uploads/89ddd7a453f3bd0b9a4fd4db77fd513a/220923_EC_정품등록서비스_수정요청.pptx)

@thermosgroup 

현재 오픈베타로 돌리면서 캐치된 내용입니다.
파일 확인 후 의견 부탁드립니다. (가능여부/제안/일정 등)",31,https://git.innerviewit.com/root/thermos/-/issues/31,Closed,Jiyoun Kim,KIM,"","",No,No,,2022-09-23 08:54:01,2022-10-06 16:23:55,2022-10-06 16:23:55,,,완료,0,0
부품등록 맵핑 노출 순서 문의,"'@thermosgroup 
수현 매니저님 금일 오전 FW신제품 3개 부품관리 맵핑 등록을 진행했는데, 
누적 엑셀로 등록하니 새로 등록한 부품이 1번부터 등록되고 있습니다.
혹시 위 부터 쌓이게 가능할까요?

![image](/uploads/1d51cec776d9a00acc1c60be0ef0ec00/image.png)",32,https://git.innerviewit.com/root/thermos/-/issues/32,Closed,um seung hyun,ush,"","",No,No,,2022-09-23 10:18:14,2022-10-07 08:44:31,2022-10-07 08:44:31,,,완료,0,0
공식몰 카테고리 내 제품 수정 요청,"'@thermosgroup 수현 매니저님 
공식몰 텀블러 스몰 사이즈를 클릭하면 아래와 같이 ppsu 제품이 노출 됩니다.
미디엄 사이즈 클릭하면 ppsu 380ml 제품 노출 되는 부분도 함께 수정 부탁드립니다. 

![image](/uploads/fdbf14100b69dafc4a54e07a815d6368/image.png)
![image](/uploads/ccfad809e88d69ad26436583ce1b2cbe/image.png)",33,https://git.innerviewit.com/root/thermos/-/issues/33,Closed,um seung hyun,ush,"","",No,No,,2022-09-28 16:01:14,2022-09-28 17:16:17,2022-09-28 17:16:17,,,완료,0,0
공식몰 11월 수능 기획전 제작 요청,"수현 매니저님 11월 공식몰 수능 기획전 기획안 전달 드립니다.
제작 일정 제안 부탁드리며 견적도 함께 전달 주세요.

**이벤트 기간: 2022.11.04. AM 11:00 - 2022.11.10. AM 10:59**

[220929_EC_기획전_11월_제작요청.pptx](/uploads/087dcfccf3fa8d8271fbd4d25b1c4a5e/220929_EC_기획전_11월_제작요청.pptx)

@thermosgroup",34,https://git.innerviewit.com/root/thermos/-/issues/34,Closed,um seung hyun,ush,"","",No,No,,2022-09-29 09:20:10,2022-11-08 17:32:21,2022-11-08 17:32:21,,,완료,0,0
[증정품] 세팅 관련 전달,"'@thermosgroup <br>
보틀세정제(비매품) 등록이 제로퍼제로 스티커(비매품)과 같이 세팅 변경이 필요하여 전달드립니다.<br>
<br>
▼ 제로퍼제로 스티커(비매품)<br>
![image](/uploads/19054f7f3fb9e19316120d96b8aa549e/image.png)<br>
![image](/uploads/02ad348abb4ea8a4b5b8e167d8e5247b/image.png)<br><br>
▼ 보틀세정제(비매품)<br>
![image](/uploads/c127bb8895a3487e0b908ac08d7b2b07/image.png)<br>
주문서당 1개씩 자동으로 들어가도록 작업이 필요하여, 써모스측에서 작업 또는 필요하시면 저희쪽에서 진행하겠습니다. <br>
확인해주시고 말씀 부탁드리겠습니다.",35,https://git.innerviewit.com/root/thermos/-/issues/35,Closed,Park Soohyun,soohyun,"","",No,No,,2022-10-04 11:15:24,2022-10-06 15:49:25,2022-10-06 15:49:25,,,완료,0,0
푸고 ppsu 제로퍼제로 스티커 증정 배너 종료 요청,"'@thermosgroup  매니저님 현재 노출중인 제로퍼제로 스티커 증정 건 금주 10/7(금) 16시 종료하고자 합니다.
일정 확인 부탁드립니다. *소진딱지 붙여주세요",36,https://git.innerviewit.com/root/thermos/-/issues/36,Closed,um seung hyun,ush,"","",No,No,,2022-10-05 08:25:34,2022-10-12 09:56:50,2022-10-12 09:56:50,,,완료,0,0
주문서페이지 내 주문서 쿠폰 선택 영역 텍스트 변경 문의,"![image](/uploads/9cbb4bbed00555ebc5d08e354724fa2f/image.png)

주문서페이지 내 주문서 쿠폰 선택 영역이 사진과 같이 ""선택하세요"" 라고만 되어 있는데요.
이 영역 텍스트 변경이 가능할까요?

@thermosgroup",37,https://git.innerviewit.com/root/thermos/-/issues/37,Closed,Jiyoun Kim,KIM,"","",No,No,,2022-10-05 14:58:03,2022-10-06 12:30:01,2022-10-06 12:30:01,,,"문의,완료",0,0
[스마트스토어] JDJ-303KC 제품 등록 요청,"'@thermosgroup 

https://thermoskorea.cafe24.com/disp/admin/product/ProductRegister?product_no=789

JDJ-303KC 스마트스토어에 제품 등록 부탁드립니다.",38,https://git.innerviewit.com/root/thermos/-/issues/38,Closed,Jiyoun Kim,KIM,"","",No,No,2022-10-07,2022-10-07 09:23:34,2022-10-13 11:18:50,2022-10-13 11:18:50,,,완료,0,0
정품등록서비스 테스트 항목 삭제 요청,"![image](/uploads/abe262fb3ed513f16c214273fd418056/image.png)

테스트항목 삭제 부탁드립니다.

@thermosgroup",39,https://git.innerviewit.com/root/thermos/-/issues/39,Closed,Jiyoun Kim,KIM,"","",No,No,,2022-10-07 10:42:41,2022-10-13 11:18:59,2022-10-13 11:18:59,,,완료,0,0
[10-11월 유지보수] 작업 일정 공유,"'@thermosgroup <BR>
유지보수 디자인/퍼블 작업 범위<BR>
- 주문서작성페이지 (https://thermosshop.kr/order/orderform.html?basket_type=A0000&delvtype=A)br>
- 장바구니 (https://thermosshop.kr/order/basket.html)<br>
- 게시판 (공지사항, 자주묻는 질문, 대량 구매문의, 마케팅/광고 문의) → 해당 페이지는 디자인없이 퍼블로 진행할 예정<br>
- 이용약관 (https://thermosshop.kr/member/agreement.html)<br>
- 개인정보처리방침 (https://thermosshop.kr/member/privacy.html)<br>
- 이용안내 (https://thermosshop.kr/shopinfo/guide.html) <br><br>
* 디자인 전달 일정 : 10/25(화)<br>
* 퍼블 전달 일정 : 11/14(월)<br>
일정 확인해주시고 이슈있으시면 말씀 부탁드리겠습니다!",40,https://git.innerviewit.com/root/thermos/-/issues/40,Closed,Park Soohyun,soohyun,"","",No,No,,2022-10-12 16:35:58,2023-01-18 09:52:21,2023-01-18 09:52:21,,,"디자인,완료,퍼블",0,0
[GA보고서] 관련 문의사항 답변,"'@KIM @ush <BR>문의주셨던 내용(GA보고서 ppt p14) 판매 TOP10 관련해서 문의주셨던 내용 ex) 마이 디자인 보틀 스트랩+원터치 타입 350ml, 마이 디자인 보틀 스트랩+원터치 타입 350ml-(BL) 부분에 관하여 답변드립니다.<BR>
상품명만 노출되는 데이터는 공식몰에서 일반결제로 주문한 건으로 확인이 되며,<BR> 상품명+옵션까지 노출되는 데이터는 네이버페이로 구매한 데이터로 출력이 되는 부분 확인했습니다.<BR>
상품명만 노출되는 부분은 이전부터 태그가 심어져있던 작업으로 그대로 활용하였고, 네이버페이는 저희가 유지보수 작업 맡고 새로 작업하여 태그로 심어두었으나, 현재 해당 부분에 관하여 일반 결제도 옵션별로 나오도록 작업해둔 상태여서 금일 기준부터는 붙어서 나올 예정입니다. <BR>
추가로 GA가 찍히는 시점은 일반 결제 구매의 경우, 주문완료페이지 로드시 주문상품 데이터로 전송, 네이버페이의 경우 상세페이지/장바구니페이지에서 네이버페이 버튼 클릭시 주문상품으로 데이터 전송되어 찍힙니다. 해당 부분 참고 부탁드리겠습니다!",41,https://git.innerviewit.com/root/thermos/-/issues/41,Closed,Park Soohyun,soohyun,"","",No,No,,2022-10-12 17:25:45,2023-02-27 16:32:16,2023-02-27 16:32:16,,,답변완료,0,0
